iter	Passed	Remaining
0	59	59035
1	59	29624
2	59	19817
3	59	14914
4	60	11987
5	60	10025
6	60	8621
7	61	7568
8	61	6749
9	61	6093
10	61	5558
11	62	5110
12	62	4730
13	62	4405
14	62	4124
15	63	3878
16	63	3659
17	63	3467
18	63	3294
19	64	3138
20	64	2998
21	64	2872
22	64	2756
23	65	2651
24	65	2558
25	65	2468
26	66	2383
27	66	2305
28	66	2233
29	67	2167
30	67	2104
31	67	2044
32	67	1991
33	68	1940
34	68	1891
35	68	1844
36	69	1801
37	69	1759
38	69	1719
39	70	1683
40	70	1648
41	70	1615
42	71	1582
43	71	1552
44	71	1523
45	72	1495
46	72	1467
47	72	1440
48	72	1413
49	73	1388
50	73	1364
51	73	1341
52	73	1319
53	74	1298
54	74	1277
55	74	1257
56	74	1237
57	75	1219
58	75	1201
59	75	1183
60	75	1166
61	76	1150
62	76	1135
63	76	1120
64	76	1105
65	77	1091
66	77	1077
67	77	1061
68	77	1048
69	78	1036
70	78	1025
71	78	1013
72	78	1001
73	79	990
74	79	978
75	79	968
76	79	958
77	80	947
78	80	937
79	80	927
80	80	917
81	81	908
82	81	898
83	81	889
84	81	879
85	81	871
86	82	861
87	82	853
88	82	845
89	82	837
90	83	829
91	83	822
92	83	814
93	83	807
94	84	800
95	84	793
96	84	786
97	84	779
98	84	773
99	85	766
100	85	760
101	85	753
102	85	746
103	86	741
104	86	735
105	86	729
106	86	723
107	86	718
108	87	712
109	87	707
110	87	702
111	87	697
112	88	692
113	88	687
114	88	682
115	88	678
116	89	673
117	89	669
118	89	664
119	89	659
120	90	656
121	90	652
122	90	647
123	91	644
124	91	640
125	91	636
126	92	632
127	92	628
128	92	624
129	92	620
130	93	616
131	93	613
132	93	610
133	93	606
134	94	602
135	94	598
136	94	595
137	94	591
138	94	587
139	95	585
140	95	582
141	95	579
142	96	575
143	96	572
144	96	569
145	96	566
146	97	563
147	97	560
148	97	557
149	97	554
150	98	551
151	98	548
152	98	546
153	98	543
154	99	540
155	99	537
156	99	535
157	99	532
158	100	529
159	100	526
160	100	524
161	100	521
162	101	519
163	101	516
164	101	513
165	101	511
166	102	509
167	102	507
168	102	504
169	102	502
170	103	500
171	103	498
172	103	495
173	103	493
174	104	491
175	104	489
176	104	486
177	105	485
178	105	483
179	105	481
180	105	478
181	105	476
182	106	474
183	106	472
184	106	469
185	106	467
186	107	465
187	107	464
188	107	462
189	108	460
190	108	458
191	108	456
192	108	455
193	109	453
194	109	451
195	109	449
196	109	447
197	109	445
198	110	443
199	110	442
200	110	440
201	111	438
202	111	436
203	111	435
204	111	433
205	112	431
206	112	430
207	112	428
208	112	427
209	113	425
210	113	423
211	113	422
212	113	420
213	114	419
214	114	417
215	114	416
216	114	414
217	115	412
218	115	411
219	115	409
220	115	408
221	116	406
222	116	405
223	116	403
224	116	402
225	117	400
226	117	399
227	117	398
228	117	397
229	118	396
230	118	394
231	118	393
232	119	392
233	119	390
234	119	389
235	119	388
236	120	386
237	120	385
238	120	384
239	120	382
240	121	381
241	121	380
242	121	378
243	121	377
244	122	376
245	122	374
246	122	373
247	122	372
248	123	370
249	123	369
250	123	368
251	123	367
252	123	365
253	124	364
254	124	363
255	124	362
256	124	361
257	125	359
258	125	358
259	125	357
260	125	356
261	126	355
262	126	353
263	126	352
264	126	351
265	127	350
266	127	349
267	127	348
268	127	347
269	127	345
270	128	344
271	128	343
272	128	342
273	128	341
274	129	340
275	129	339
276	129	338
277	129	337
278	130	336
279	130	335
280	130	334
281	130	333
282	131	331
283	131	331
284	131	329
285	131	329
286	132	328
287	132	327
288	132	326
289	132	325
290	132	323
291	133	323
292	133	322
293	133	321
294	134	320
295	134	319
296	134	318
297	134	317
298	135	316
299	135	315
300	135	314
301	135	313
302	136	313
303	136	313
304	136	312
305	137	311
306	137	310
307	137	309
308	137	308
309	138	307
310	138	306
311	138	305
312	138	304
313	139	303
314	139	302
