iter	Passed	Remaining
0	57	57000
1	57	28612
2	57	19146
3	57	14414
4	58	11579
5	58	9683
6	58	8326
7	58	7309
8	59	6517
9	59	5884
10	59	5367
11	59	4936
12	60	4572
13	60	4260
14	60	3990
15	61	3756
16	61	3545
17	61	3358
18	61	3191
19	62	3042
20	62	2906
21	62	2782
22	62	2672
23	63	2569
24	63	2476
25	63	2388
26	64	2307
27	64	2231
28	64	2160
29	64	2094
30	65	2033
31	65	1975
32	65	1921
33	65	1871
34	66	1822
35	66	1778
36	66	1735
37	66	1696
38	67	1657
39	67	1620
40	67	1585
41	68	1552
42	68	1521
43	68	1490
44	68	1461
45	69	1433
46	69	1406
47	69	1381
48	69	1356
49	70	1333
50	70	1310
51	70	1288
52	70	1267
53	71	1247
54	71	1227
55	71	1208
56	71	1190
57	72	1173
58	72	1156
59	72	1139
60	73	1124
61	73	1109
62	73	1094
63	73	1080
64	74	1067
65	74	1053
66	74	1040
67	74	1027
68	75	1015
69	75	1002
70	75	991
71	76	979
72	76	968
73	76	957
74	76	946
75	77	936
76	77	926
77	77	916
78	77	907
79	78	897
80	78	888
81	78	880
82	78	869
83	78	861
84	79	852
85	79	845
86	79	837
87	80	829
88	80	821
89	80	814
90	80	807
91	81	800
92	81	793
93	81	786
94	81	780
95	82	774
96	82	769
97	83	764
98	83	757
99	83	751
100	83	745
101	84	740
102	84	734
103	84	728
104	84	723
105	85	717
106	85	712
107	85	707
108	85	702
109	86	697
110	86	692
111	86	687
112	87	683
113	87	678
114	87	673
115	87	669
116	87	664
117	88	660
118	88	656
119	89	653
120	89	649
121	89	645
122	89	641
123	90	637
124	90	633
125	90	629
126	91	625
127	91	623
128	91	620
129	92	617
130	92	615
131	93	612
132	93	609
133	93	605
134	93	601
135	94	598
136	94	595
137	94	592
138	95	589
139	95	586
140	95	583
141	95	579
142	96	576
143	96	574
144	97	572
145	97	569
146	97	567
147	98	565
148	98	563
149	98	560
150	99	558
151	99	555
152	99	552
153	100	550
154	100	547
155	100	544
156	100	542
157	101	539
158	101	536
159	101	534
160	102	531
161	102	529
162	102	526
163	102	524
164	103	521
165	103	519
166	103	516
167	103	514
168	104	511
169	104	509
170	104	507
171	104	505
172	105	502
173	105	500
174	105	499
175	106	497
176	106	495
177	106	494
178	107	492
179	107	490
180	107	488
181	108	486
182	108	484
183	108	482
184	109	481
185	109	479
186	109	477
187	110	476
188	110	474
189	110	472
190	111	470
191	111	469
192	111	467
193	112	466
194	112	464
195	112	462
196	113	461
197	113	459
198	113	457
199	113	455
200	114	454
201	114	453
202	115	451
203	115	450
204	115	449
205	116	447
206	116	446
207	116	445
208	117	443
209	117	442
210	118	441
211	118	439
212	118	438
213	118	436
214	119	435
215	119	433
216	119	432
217	120	430
218	120	429
219	120	427
220	121	426
221	121	425
222	121	424
223	122	423
224	122	421
225	122	420
226	123	418
227	123	417
228	123	416
229	123	414
230	124	413
231	124	412
232	124	410
233	125	409
234	125	408
235	125	407
236	126	406
237	126	405
238	126	404
239	127	403
240	127	401
241	127	400
242	128	399
243	128	398
244	128	396
245	129	395
246	129	394
247	129	392
248	129	391
249	130	390
250	130	389
251	130	388
252	131	387
253	131	386
254	131	385
255	132	384
256	132	383
257	133	382
258	133	381
259	133	380
260	134	379
261	134	378
262	134	377
263	135	376
264	135	375
265	135	374
266	136	373
267	136	372
268	136	371
269	137	370
270	137	369
271	137	368
272	138	367
273	138	366
274	138	365
275	138	364
276	139	363
277	139	362
278	140	361
279	140	361
280	140	360
281	141	359
282	141	358
283	141	357
284	142	357
285	142	356
286	143	355
287	143	354
288	143	353
289	143	352
290	144	351
291	144	350
292	144	349
293	145	348
294	145	347
295	145	346
296	146	346
297	146	345
298	147	344
299	147	343
300	147	343
301	148	342
302	148	341
303	148	340
304	149	339
305	149	339
306	149	338
307	150	337
308	150	336
309	150	335
310	151	334
311	151	333
312	151	332
313	152	332
314	152	331
315	152	330
316	153	329
317	153	329
318	153	328
319	154	327
320	154	326
321	155	326
322	155	325
323	155	324
324	156	324
325	156	323
326	156	322
327	157	322
328	157	321
329	157	320
330	158	320
331	158	319
332	159	318
333	159	318
